,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
1728,['蓝光圣菲悦城二期 3室1厅 西'],暂无数据,首付及贷款情况请咨询经纪人,蓝光圣菲悦城二期,双流,航空港,3室1厅1厨2卫,低楼层 (共21层),117.07㎡,平层,暂无数据,板塔结合,西,钢混结构,精装,两梯六户,有,2020-09-14,商品房,2019-06-03,普通住宅,满两年,共有,"
                                有抵押 100万元 无按揭 有抵押，抵押给银行的
                              ",已上传房本照片,,,,
1729,['王府花园三期 3室2厅 南'],108,11375,王府花园三期,双流,东升镇,3室2厅1厨1卫,高楼层 (共6层),94.95㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,2021-07-29,商品房,2010-07-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1730,['海棠湾 3室1厅 南'],218,17208,海棠湾,双流,双流城区,3室1厅1厨2卫,高楼层 (共16层),126.69㎡,平层,107.9㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2020-10-11,商品房,2017-12-18,普通住宅,满两年,共有,"
                                有抵押 90万元
                              ",已上传房本照片,,,,
1731,['空港晶座 3室1厅 东'],165,16199,空港晶座,双流,航空港,3室1厅1厨2卫,高楼层 (共24层),101.86㎡,跃层,暂无数据,板楼,东,钢混结构,精装,三梯十七户,有,2021-08-04,商品房,2018-09-14,普通住宅,满两年,共有,"
                                有抵押 60万元
                              ",已上传房本照片,,,,
1732,['水电五局红缨小区 3室2厅 南'],108,8600,水电五局红缨小区,双流,航空港,3室2厅1厨2卫,低楼层 (共7层),125.59㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,2021-07-11,商品房,2016-07-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1733,['蓝光圣菲悦城二期 3室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,蓝光圣菲悦城二期,双流,航空港,3室2厅1厨1卫,中楼层 (共20层),79.43㎡,平层,暂无数据,板塔结合,东南,框架结构,精装,两梯六户,有,2021-08-29,商品房,2019-08-04,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1734,['黄河中路二段161号 4室2厅 东'],118,7838,黄河中路二段161号,双流,航空港,4室2厅1厨2卫,高楼层 (共6层),150.56㎡,平层,138.78㎡,板楼,东,混合结构,精装,一梯两户,无,2020-04-17,商品房,2014-12-18,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1735,['威兰德小镇 3室1厅 南 北'],125,16049,威兰德小镇,双流,东升镇,3室1厅1厨1卫,中楼层 (共26层),77.89㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯八户,有,2021-09-21,商品房,2018-07-19,普通住宅,满两年,共有,"
                                有抵押 38万元 客户偿还
                              ",已上传房本照片,,,,
1736,['水云花都 4室2厅 南'],210,11129,水云花都,双流,东升镇,4室2厅1厨2卫,高楼层 (共6层),188.71㎡,跃层,暂无数据,暂无数据,南,未知结构,精装,一梯两户,无,2020-10-10,商品房,2013-05-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1737,['上优水岸 3室1厅 南'],147,12496,上优水岸,双流,航空港,3室1厅1厨2卫,高楼层 (共6层),117.64㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,2020-08-04,商品房,2009-05-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1738,['宗申赛纳维二期 3室1厅 西'],112,10139,宗申赛纳维二期,双流,蛟龙港,3室1厅1厨2卫,高楼层 (共6层),110.47㎡,平层,81.37㎡,板塔结合,西,框架结构,精装,一梯两户,有,2021-07-22,商品房,2015-02-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1739,['棠湖泊林城 4室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,棠湖泊林城,双流,华府,4室2厅1厨2卫,高楼层 (共33层),143.92㎡,平层,120.61㎡,板塔结合,南,框架结构,精装,两梯五户,有,2021-10-29,商品房,2016-09-20,普通住宅,满五年,共有,"
                                有抵押 20万元 工商银行 业主自还
                              ",已上传房本照片,,,,
1740,['锦华苑(双流) 4室2厅 北'],115,7302,锦华苑(双流),双流,东升镇,4室2厅1厨3卫,高楼层 (共6层),157.51㎡,错层,157㎡,板楼,北,混合结构,精装,一梯两户,无,2021-02-01,商品房,2013-02-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1741,['空港十六区 3室1厅 东南'],190,15188,空港十六区,双流,航空港,3室1厅1厨2卫,高楼层 (共18层),125.1㎡,平层,125.1㎡,塔楼,东南,钢混结构,简装,两梯四户,有,2021-02-24,商品房,2012-04-05,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1742,['人居都市阳光 3室1厅 南'],170.5,13671,人居都市阳光,双流,蛟龙港,3室1厅1厨2卫,低楼层 (共18层),124.72㎡,平层,107.72㎡,塔楼,南,钢混结构,精装,两梯四户,有,2021-08-07,商品房,2012-02-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1743,['棠湖泊林城 4室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,棠湖泊林城,双流,华府,4室2厅1厨2卫,高楼层 (共33层),143.92㎡,平层,120.61㎡,板塔结合,南,框架结构,精装,两梯五户,有,2021-10-29,商品房,2016-09-20,普通住宅,满五年,共有,"
                                有抵押 20万元 工商银行 业主自还
                              ",已上传房本照片,,,,
1744,['新碧园 3室1厅 西北'],165,14262,新碧园,双流,航空港,3室1厅1厨2卫,低楼层 (共13层),115.7㎡,平层,95.33㎡,板楼,西北,框架结构,精装,两梯六户,有,2021-10-25,商品房,2017-12-22,普通住宅,满两年,共有,"
                                有抵押 贷款33万，客户协助自还皆可
                              ",已上传房本照片,,,,
1745,['欧洲印象 3室1厅 东'],暂无数据,首付及贷款情况请咨询经纪人,欧洲印象,双流,航空港,3室1厅1厨1卫,中楼层 (共22层),87.29㎡,平层,69.73㎡,板塔结合,东,钢混结构,简装,两梯六户,有,2021-11-20,商品房,2015-10-12,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,,,,
1746,['翰林南城 3室1厅 南'],138,13629,翰林南城,双流,航空港,3室1厅1厨1卫,低楼层 (共6层),101.26㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,2021-11-04,商品房,2009-01-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
