,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
969,['西区花园白领公寓 1室1厅 东'],36,9818,西区花园白领公寓,郫都,犀浦,1室1厅1厨1卫,中楼层 (共6层),36.67㎡,平层,暂无数据,板楼,东,钢混结构,简装,两梯二十四户,有,2018-08-19,商品房,2007-06-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
970,['天邑宏御花园御苑 3室1厅 西南'],124,10330,天邑宏御花园御苑,郫都,橡树湾,3室1厅1厨2卫,低楼层 (共21层),120.04㎡,平层,97.33㎡,塔楼,西南,钢混结构,精装,两梯四户,有,2020-08-09,商品房,2017-04-13,普通住宅,满两年,非共有,"
                                有抵押 42万元 农业银行 客户偿还
                              ",已上传房本照片,,,,
971,['星光大道C区 4室2厅 东南'],136,7531,星光大道C区,郫都,郫县城区,4室2厅1厨2卫,中楼层 (共10层),180.61㎡,错层,暂无数据,板塔结合,东南,钢混结构,简装,三梯四户,有,2018-12-20,商品房,2004-06-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
972,['华润橡树湾B区 3室2厅 东南'],300,20190,华润橡树湾B区,郫都,橡树湾,3室2厅1厨2卫,中楼层 (共6层),148.59㎡,平层,暂无数据,板塔结合,东南,钢混结构,毛坯,一梯两户,有,2019-05-02,商品房,2012-03-21,普通住宅,满五年,共有,"
                                有抵押 40万元 业主自还
                              ",已上传房本照片,,,,
973,['今日花园 3室2厅 东南'],116,8993,今日花园,郫都,犀浦,3室2厅1厨2卫,高楼层 (共6层),129㎡,跃层,129㎡,板塔结合,东南,混合结构,简装,一梯两户,无,2021-03-14,商品房,2011-03-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
974,['华润橡树湾B区 7室4厅 东南'],190,30439,华润橡树湾B区,郫都,橡树湾,7室4厅1厨3卫,高楼层 (共34层),62.42㎡,跃层,45.51㎡,板塔结合,东南,钢混结构,精装,两梯六户,有,2019-07-18,商品房,2015-11-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
975,['棠蓉园 5室2厅 东南'],520,21276,棠蓉园,郫都,犀浦,5室2厅1厨3卫,中楼层 (共4层),244.41㎡,,220.63㎡,,东南,钢混结构,其他,,,2021-11-03,商品房,2017-04-20,别墅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,叠拼,,,
976,['万树森林二期 2室2厅 东南'],113,16330,万树森林二期,郫都,犀浦,2室2厅1厨1卫,低楼层 (共12层),69.2㎡,平层,暂无数据,板塔结合,东南,框架结构,简装,两梯十一户,有,2020-11-22,商品房,2017-06-12,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
977,['景德一巷2号 6室3厅 东南'],145,7179,景德一巷2号,郫都,郫县城区,6室3厅1厨3卫,中楼层 (共5层),201.98㎡,跃层,暂无数据,暂无数据,东南,未知结构,简装,一梯两户,暂无数据,2019-08-21,商品房,2010-08-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
978,['龙城国际 3室1厅 东南'],159.5,15785,龙城国际,郫都,橡树湾,3室1厅1厨2卫,中楼层 (共33层),101.05㎡,平层,80.26㎡,板塔结合,东南,钢混结构,精装,三梯六户,有,2020-11-12,商品房,2016-03-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
979,['西城鸥鹭湾 3室1厅 西南'],125,14050,西城鸥鹭湾,郫都,郫县城区,3室1厅1厨1卫,低楼层 (共18层),88.97㎡,平层,暂无数据,塔楼,西南,钢混结构,其他,一梯四户,有,2021-05-08,商品房,2018-04-28,普通住宅,满两年,共有,"
                                有抵押 3万元 建设银行
                              ",已上传房本照片,,,,
980,['今日花园 4室2厅 东南'],170,9817,今日花园,郫都,犀浦,4室2厅1厨3卫,高楼层 (共6层),173.17㎡,跃层,暂无数据,板塔结合,东南,混合结构,简装,一梯两户,无,2021-09-02,商品房,2003-09-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
981,['派克公馆 4室2厅 西南'],262,10491,派克公馆,郫都,成外,4室2厅1厨3卫,低楼层 (共18层),249.75㎡,跃层,暂无数据,板塔结合,西南,框架结构,精装,两梯两户,有,2021-10-22,商品房,2012-12-12,普通住宅,满五年,共有,"
                                有抵押 100万元 业主自还
                              ",已上传房本照片,,,,
982,['银丰园一区 3室2厅 南 东'],75,5364,银丰园一区,郫都,橡树湾,3室2厅1厨2卫,高楼层 (共7层),139.83㎡,平层,暂无数据,板楼,南 东,砖混结构,简装,一梯四户,无,2020-05-18,商品房,2003-01-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
983,['万树森林二期 3室2厅 东南 西北'],132,10685,万树森林二期,郫都,犀浦,3室2厅1厨2卫,高楼层 (共18层),123.54㎡,平层,120㎡,板塔结合,东南 西北,框架结构,精装,两梯四户,有,2021-08-04,商品房,2013-08-04,普通住宅,满五年,共有,"
                                有抵押 80万元 业主自还
                              ",已上传房本照片,,,,
984,['星光大道A区 3室2厅 西南'],97,7713,星光大道A区,郫都,郫县城区,3室2厅1厨2卫,中楼层 (共6层),125.77㎡,错层,暂无数据,板楼,西南,混合结构,精装,一梯两户,无,2020-05-15,商品房,2006-01-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
985,['万树森林一期 3室2厅 西南'],158,12054,万树森林一期,郫都,犀浦,3室2厅1厨2卫,中楼层 (共11层),131.08㎡,平层,7.04㎡,板楼,西南,框架结构,毛坯,一梯两户,有,2018-10-02,商品房,2010-05-14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
986,['派克公馆 4室2厅 东南 西北'],400,20476,派克公馆,郫都,成外,4室2厅1厨3卫,高楼层 (共6层),195.36㎡,跃层,168.63㎡,板楼,东南 西北,框架结构,精装,一梯两户,有,2020-09-29,商品房,2015-10-14,普通住宅,满五年,非共有,"
                                有抵押 50万元 邮政沙湾支行 业主自还
                              ",已上传房本照片,,,,
987,['今日花园 4室2厅 东南'],150,11362,今日花园,郫都,犀浦,4室2厅1厨2卫,中楼层 (共6层),132.03㎡,错层,暂无数据,板塔结合,东南,混合结构,简装,一梯两户,无,2020-05-02,商品房,2012-09-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",未上传房本照片,,,,
988,['桂溪欧苑 5室2厅 东南'],410,10990,桂溪欧苑,郫都,郫县城区,5室2厅1厨3卫,低楼层 (共1层),373.07㎡,,暂无数据,,东南,钢混结构,毛坯,,,2021-06-29,商品房,2019-03-28,别墅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,联排,,,
989,['龙城国际 3室2厅 东南'],228,16396,龙城国际,郫都,橡树湾,3室2厅1厨2卫,高楼层 (共10层),139.06㎡,平层,暂无数据,板塔结合,东南,框架结构,毛坯,一梯两户,有,2021-04-28,商品房,2018-05-22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
990,['万树森林二期 3室2厅 东南 西北'],132,10685,万树森林二期,郫都,犀浦,3室2厅1厨2卫,高楼层 (共18层),123.54㎡,平层,120㎡,板塔结合,东南 西北,框架结构,精装,两梯四户,有,2021-08-04,商品房,2013-08-04,普通住宅,满五年,共有,"
                                有抵押 80万元 业主自还
                              ",已上传房本照片,,,,
991,['西江月 5室2厅 东南'],308,15159,西江月,郫都,成外,5室2厅1厨2卫,高楼层 (共16层),203.18㎡,跃层,179.27㎡,板塔结合,东南,框架结构,精装,两梯四户,有,2020-07-14,商品房,2009-06-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
992,['龙城国际 3室2厅 东南'],228,16396,龙城国际,郫都,橡树湾,3室2厅1厨2卫,高楼层 (共10层),139.06㎡,平层,暂无数据,板塔结合,东南,框架结构,毛坯,一梯两户,有,2021-04-28,商品房,2018-05-22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
993,['今日花园 4室2厅 西南'],197,12350,今日花园,郫都,犀浦,4室2厅1厨2卫,低楼层 (共6层),159.52㎡,错层,159.52㎡,板塔结合,西南,砖混结构,精装,一梯两户,无,2019-11-29,商品房,2013-04-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
