,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
47,['大庆蜀苑 3室2厅 东南'],63,6051,大庆蜀苑,温江,国色天乡,3室2厅1厨1卫,中楼层 (共6层),104.12㎡,平层,暂无数据,板楼,东南,砖混结构,毛坯,一梯两户,无,2021-12-09,商品房,2007-10-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
48,['新城府景 3室2厅 东南'],97,9969,新城府景,温江,温江新城,3室2厅1厨1卫,中楼层 (共25层),97.31㎡,平层,78.03㎡,板塔结合,东南,钢混结构,精装,两梯六户,有,2021-12-05,商品房,2017-01-23,普通住宅,满两年,共有,"
                                有抵押 26万元 岷江支行
                              ",已上传房本照片,,,,
49,['金强大学城 3室1厅 西南'],96,11231,金强大学城,温江,温江大学城,3室1厅1厨1卫,低楼层 (共18层),85.48㎡,平层,暂无数据,板塔结合,西南,钢混结构,精装,两梯四户,有,2021-12-10,商品房,2018-03-22,普通住宅,满两年,非共有,"
                                有抵押 40万元
                              ",已上传房本照片,,,,
50,['明信仕林府 3室1厅 东'],149,12346,明信仕林府,温江,温江大学城,3室1厅1厨2卫,中楼层 (共33层),120.69㎡,平层,97.49㎡,板塔结合,东,钢混结构,毛坯,两梯五户,有,2021-12-07,商品房,2017-08-21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
51,['大庆蜀苑 2室1厅 东南'],56.8,6497,大庆蜀苑,温江,国色天乡,2室1厅1厨1卫,中楼层 (共5层),87.43㎡,平层,暂无数据,板楼,东南,砖混结构,简装,一梯两户,无,2021-12-06,商品房,2010-12-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
52,['洲际亚洲湾A区 2室1厅 西北'],123,15435,洲际亚洲湾A区,温江,光华大道沿线,2室1厅1厨1卫,高楼层 (共38层),79.69㎡,平层,暂无数据,板塔结合,西北,框架结构,精装,两梯六户,有,2021-12-02,商品房,2017-11-16,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
53,['公园壹号 2室1厅 东南'],51,9421,公园壹号,温江,温江老城,2室1厅1厨1卫,高楼层 (共27层),54.14㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯四户,有,2021-11-27,商品房,2017-02-08,普通住宅,满两年,非共有,"
                                有抵押 15万元 业主自还
                              ",已上传房本照片,,,,
54,['大华水映岛 3室1厅 东 西'],145,14868,大华水映岛,温江,光华大道沿线,3室1厅1厨1卫,中楼层 (共11层),97.53㎡,平层,80.65㎡,板塔结合,东 西,钢混结构,简装,一梯两户,有,2021-12-15,商品房,2011-12-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
55,['彩叠园1A期 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,彩叠园1A期,温江,光华大道沿线,3室2厅1厨1卫,高楼层 (共18层),87.84㎡,平层,74.34㎡,板塔结合,南,框架结构,精装,两梯四户,有,2021-12-10,商品房,2015-03-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
56,['东原城 3室2厅 南'],75,10174,东原城,温江,温江大学城,3室2厅1厨1卫,中楼层 (共25层),73.72㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯八户,有,2021-12-11,商品房,2018-03-20,普通住宅,满两年,非共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片,,,,
57,['世纪光华 4室2厅 东南'],125,10078,世纪光华,温江,花都大道,4室2厅1厨2卫,高楼层 (共18层),124.04㎡,平层,105.84㎡,板塔结合,东南,钢混结构,简装,两梯四户,有,2021-12-12,商品房,2011-02-24,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
58,['明信仕林府 3室1厅 南'],123,14610,明信仕林府,温江,温江大学城,3室1厅1厨1卫,中楼层 (共33层),84.19㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,2021-12-14,商品房,2018-08-22,普通住宅,满两年,非共有,"
                                有抵押 25万元 中国银行 业主自还
                              ",已上传房本照片,,,,
59,['都市水岸 3室1厅 东南'],114.8,9600,都市水岸,温江,温江老城,3室1厅1厨2卫,中楼层 (共6层),119.59㎡,平层,107.32㎡,板楼,东南,混合结构,精装,一梯两户,无,2021-12-17,商品房,2013-04-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
60,['明信仕林府 3室2厅 东北'],113,13477,明信仕林府,温江,温江大学城,3室2厅1厨1卫,高楼层 (共33层),83.85㎡,平层,暂无数据,板塔结合,东北,钢混结构,精装,两梯六户,有,2021-12-14,商品房,2017-08-30,普通住宅,满两年,非共有,"
                                有抵押 15万元
                              ",已上传房本照片,,,,
61,['航天花园 3室2厅 西北 北'],90,7373,航天花园,温江,花都大道,3室2厅1厨2卫,低楼层 (共6层),122.07㎡,错层,暂无数据,板楼,西北 北,砖混结构,简装,一梯两户,无,2021-12-18,商品房,2018-02-14,普通住宅,满两年,共有,"
                                有抵押 55万元
                              ",已上传房本照片,,,,
62,['珠江御景湾 4室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,珠江御景湾,温江,珠江新城,4室1厅1厨2卫,中楼层 (共31层),162.79㎡,平层,138.87㎡,板塔结合,东南,钢混结构,精装,两梯四户,有,2020-06-28,商品房,2014-11-07,普通住宅,满五年,共有,"
                                有抵押 45万元
                              ",已上传房本照片,,,,
63,['金河谷三期 4室2厅 东北'],暂无数据,首付及贷款情况请咨询经纪人,金河谷三期,温江,光华大道沿线,4室2厅1厨3卫,低楼层 (共1层),273.36㎡,,暂无数据,,东北,钢混结构,毛坯,,,2021-04-30,商品房,2013-08-21,别墅,满五年,共有,"
                                有抵押 80万元
                              ",已上传房本照片,联排,,,
64,['生态苑 4室2厅 西南'],90,5190,生态苑,温江,温江老城,4室2厅1厨2卫,高楼层 (共6层),173.44㎡,错层,暂无数据,板楼,西南,砖混结构,简装,一梯两户,无,2021-09-23,商品房,2003-12-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
65,['金河谷一期 4室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,金河谷一期,温江,光华大道沿线,4室2厅1厨2卫,中楼层 (共26层),155.48㎡,平层,暂无数据,板塔结合,东南,钢混结构,简装,两梯三户,有,2021-02-28,商品房,2010-06-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
66,['鹭湖宫八区 3室1厅 东南'],134.8,10701,鹭湖宫八区,温江,国色天乡,3室1厅1厨2卫,高楼层 (共32层),125.98㎡,平层,暂无数据,板塔结合,东南,钢混结构,毛坯,两梯三户,有,2021-12-23,商品房,2021-03-02,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
67,['锦绣森邻 3室2厅 东南'],220,11703,锦绣森邻,温江,光华大道沿线,3室2厅1厨2卫,低楼层 (共5层),188㎡,跃层,127.42㎡,板塔结合,东南,钢混结构,精装,一梯两户,无,2019-12-07,商品房,2009-11-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
68,['佳兆业丽晶港 4室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,佳兆业丽晶港,温江,珠江新城,4室2厅1厨2卫,中楼层 (共33层),117.66㎡,平层,95.02㎡,板塔结合,南,框架结构,毛坯,两梯四户,有,2021-11-16,商品房,2013-12-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
69,['地铁首座 3室2厅 东南 西北'],116,14359,地铁首座,温江,温江大学城,3室2厅1厨1卫,中楼层 (共33层),80.79㎡,平层,暂无数据,板塔结合,东南 西北,钢混结构,精装,两梯六户,有,2021-12-19,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 26万元 客户偿还
                              ",未上传房本照片,,,,
