,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,用水类型,用电类型,燃气价格,别墅类型
37,['郦景东城 4室2厅 东南'],164.5,11777,郦景东城,成华,八里小区,4室2厅1厨2卫,高楼层 (共6层),139.68㎡,跃层,暂无数据,板楼,东南,钢混结构,简装,一梯两户,无,2021/5/3,商品房,2004/7/14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
38,['上行锦绣 6室2厅 东南'],238,17358,上行锦绣,成华,驷马桥,6室2厅1厨2卫,高楼层 (共18层),137.12㎡,跃层,117.36㎡,塔楼,东南,钢混结构,简装,两梯六户,有,2020/12/4,商品房,2012/8/3,普通住宅,满五年,非共有,"
                                有抵押 10万元 建设银行 业主自还
                              ",已上传房本照片,,,,
39,['蓝光乐彩城一期 3室1厅 东南'],172,23269,蓝光乐彩城一期,成华,理工大,3室1厅1厨1卫,低楼层 (共41层),73.92㎡,平层,59㎡,塔楼,东南,框架结构,精装,三梯八户,有,2021/11/28,商品房,2019/5/9,普通住宅,满两年,共有,"
                                有抵押 60万元 业主自还
                              ",已上传房本照片,,,,
40,['府青路二段18号 2室1厅 南'],66.5,10666,府青路二段18号,成华,李家沱,2室1厅1厨1卫,中楼层 (共6层),62.35㎡,平层,暂无数据,板楼,南,混合结构,毛坯,一梯两户,无,2021/12/2,商品房,1999/10/13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
41,['现代北苑 2室1厅 南'],78,14237,现代北苑,成华,李家沱,2室1厅1厨1卫,高楼层 (共7层),54.79㎡,跃层,暂无数据,板楼,南,混合结构,精装,一梯四户,无,2021/11/30,商品房,2010/8/5,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
42,['华润二十四城二期 3室2厅 东'],暂无数据,首付及贷款情况请咨询经纪人,华润二十四城二期,成华,万象城,3室2厅1厨1卫,中楼层 (共32层),73.73㎡,平层,59.88㎡,板塔结合,东,钢混结构,简装,两梯六户,有,2021/11/30,商品房,2012/5/15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
43,['中国铁建北湖国际城一期 3室1厅 东'],153,19190,中国铁建北湖国际城一期,成华,龙潭寺,3室1厅1厨1卫,中楼层 (共34层),79.73㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯六户,有,2021/11/30,商品房,2017/3/16,普通住宅,满两年,非共有,"
                                有抵押 30万元 农业银行 业主自还
                              ",已上传房本照片,,,,
44,['华润二十四城一期 3室2厅 西'],230,25604,华润二十四城一期,成华,万象城,3室2厅1厨1卫,中楼层 (共32层),89.83㎡,平层,70.51㎡,塔楼,西,钢混结构,精装,两梯五户,有,2021/12/1,商品房,2009/9/15,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
45,['八里阳光 3室2厅 西南'],168,15147,八里阳光,成华,八里小区,3室2厅1厨1卫,高楼层 (共18层),110.92㎡,平层,暂无数据,板楼,西南,框架结构,毛坯,两梯五户,有,2021/12/4,商品房,2013/3/18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
46,['中粮锦云 3室1厅 西北'],暂无数据,首付及贷款情况请咨询经纪人,中粮锦云,成华,万年场,3室1厅1厨1卫,高楼层 (共29层),73.71㎡,平层,暂无数据,板塔结合,西北,钢混结构,精装,两梯六户,有,2021/11/28,商品房,2016/9/7,普通住宅,满五年,共有,"
                                有抵押 120万元
                              ",已上传房本照片,,,,
47,['浅水半岛三期 3室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,浅水半岛三期,成华,八里小区,3室2厅1厨2卫,高楼层 (共27层),119.56㎡,平层,99.4㎡,板塔结合,东南,钢混结构,精装,两梯四户,有,2021/11/25,商品房,2015/9/25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
48,['东方明珠花园 3室1厅 东'],198,16130,东方明珠花园,成华,八里小区,3室1厅1厨2卫,中楼层 (共11层),122.76㎡,错层,暂无数据,板楼,东,钢混结构,简装,一梯两户,有,2021/11/23,商品房,2014/5/6,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
49,['保利林语溪一期 3室1厅 北'],155,17185,保利林语溪一期,成华,龙潭寺,3室1厅1厨2卫,高楼层 (共32层),90.2㎡,平层,暂无数据,板塔结合,北,钢混结构,简装,两梯五户,有,2021/12/4,商品房,2018/2/7,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
50,['财富又一城 2室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,财富又一城,成华,李家沱,2室2厅1厨1卫,高楼层 (共34层),74.36㎡,平层,59.83㎡,塔楼,南,框架结构,精装,三梯八户,有,2021/12/6,商品房,2011/8/19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
51,['胜天人居 2室1厅 西'],92,13417,胜天人居,成华,万年场,2室1厅1厨1卫,中楼层 (共33层),68.57㎡,平层,暂无数据,板塔结合,西,钢混结构,精装,两梯八户,有,2021/12/5,经济适用房,2018/8/14,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
52,['华润二十四城一期 3室1厅 南 北'],212,23985,华润二十四城一期,成华,万象城,3室1厅1厨1卫,低楼层 (共32层),88.39㎡,平层,69.76㎡,塔楼,南 北,钢混结构,简装,两梯四户,有,2021/12/5,商品房,2011/1/14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
53,['优品尚东三期 3室1厅 南 北'],暂无数据,首付及贷款情况请咨询经纪人,优品尚东三期,成华,万年场,3室1厅1厨2卫,中楼层 (共32层),107.24㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯六户,有,2021/12/6,商品房,2017/9/12,普通住宅,满两年,非共有,"
                                有抵押 30万元 建设银行 业主自还
                              ",已上传房本照片,,,,
54,['华润二十四城一期 2室1厅 东'],205,22738,华润二十四城一期,成华,万象城,2室1厅1厨1卫,高楼层 (共32层),90.16㎡,平层,70.77㎡,塔楼,东,钢混结构,精装,两梯五户,有,2021/12/1,商品房,2011/6/22,普通住宅,满五年,共有,"
                                有抵押 20万元 业主自还
                              ",已上传房本照片,,,,
55,['新里柏仕公馆 2室1厅 南'],暂无数据,首付及贷款情况请咨询经纪人,新里柏仕公馆,成华,东客站,2室1厅1厨1卫,中楼层 (共32层),88.09㎡,平层,暂无数据,塔楼,南,框架结构,精装,两梯五户,有,2021/11/22,商品房,2015/4/10,普通住宅,满五年,非共有,"
                                有抵押 19万元 业主自还
                              ",已上传房本照片,,,,
56,['锦绣东方一期 2室2厅 西南'],119,17557,锦绣东方一期,成华,万象城,2室2厅1厨1卫,中楼层 (共33层),67.78㎡,平层,56.09㎡,塔楼,西南,钢混结构,毛坯,三梯八户,有,2021/11/28,拆迁安置房,2013/4/16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
57,['蓝光锦绣城一期 2室1厅 东北'],143,18553,蓝光锦绣城一期,成华,成渝立交,2室1厅1厨1卫,中楼层 (共18层),77.08㎡,平层,63.2㎡,板塔结合,东北,钢混结构,精装,两梯六户,有,2021/11/30,商品房,2019/9/12,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
58,['首创爱这城三期 2室1厅 南 西'],暂无数据,首付及贷款情况请咨询经纪人,首创爱这城三期,成华,建设路,2室1厅1厨1卫,高楼层 (共29层),70.91㎡,平层,56.18㎡,板塔结合,南 西,框架结构,简装,三梯九户,有,2021/12/8,商品房,2010/10/18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
59,['华林南苑 1室1厅 西南'],72,12906,华林南苑,成华,理工大,1室1厅1厨1卫,中楼层 (共22层),55.79㎡,平层,41.76㎡,板塔结合,西南,钢混结构,简装,两梯五户,有,2021/12/9,商品房,2018/12/6,普通住宅,满两年,非共有,"
                                有抵押 50万元 中国邮政储蓄银行 金融公司垫资
                              ",已上传房本照片,,,,
60,['南苑(成华) 2室1厅 东'],66,11493,南苑(成华),成华,建设路,2室1厅1厨1卫,中楼层 (共7层),57.43㎡,平层,暂无数据,板楼,东,砖混结构,简装,一梯两户,无,2021/12/13,商品房,2012/9/1,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
61,['二重嘉苑 2室1厅 南'],125,12790,二重嘉苑,成华,龙潭寺,2室1厅1厨1卫,高楼层 (共16层),97.74㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,2021/12/10,商品房,2019/11/18,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
62,['蜀都惠园 2室1厅 东南'],145,19651,蜀都惠园,成华,新华公园,2室1厅1厨1卫,低楼层 (共27层),73.79㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,三梯六户,有,2021/12/8,商品房,2017/4/25,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
63,['理想城 2室1厅 东南'],139,24822,理想城,成华,理工大,2室1厅1厨1卫,高楼层 (共35层),56㎡,平层,暂无数据,塔楼,东南,框架结构,精装,三梯九户,有,2021/12/11,商品房,2018/12/12,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
64,['华宇阳光水岸 2室1厅 东南'],142,18695,华宇阳光水岸,成华,驷马桥,2室1厅1厨1卫,低楼层 (共21层),75.96㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,有,2021/12/12,商品房,2011/1/14,普通住宅,满五年,非共有,"
                                有抵押 10万元 业主自还
                              ",已上传房本照片,,,,
65,['紫东芯座 3室2厅 西 东'],193,21772,紫东芯座,成华,万象城,3室2厅1厨1卫,低楼层 (共33层),88.65㎡,平层,暂无数据,塔楼,西 东,钢混结构,简装,三梯六户,有,2021/11/21,商品房,2014/1/8,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
66,['龙湖三千城二期B区 3室1厅 北'],暂无数据,首付及贷款情况请咨询经纪人,龙湖三千城二期B区,成华,SM广场,3室1厅1厨1卫,中楼层 (共34层),88.94㎡,平层,73.19㎡,板塔结合,北,钢混结构,精装,三梯六户,有,2021/12/9,商品房,2012/9/2,普通住宅,满五年,非共有,"
                                有抵押 45万元
                              ",已上传房本照片,,,,
67,['阳光100米娅中心一期 1室1厅 东'],暂无数据,首付及贷款情况请咨询经纪人,阳光100米娅中心一期,成华,万年场,1室1厅1厨1卫,高楼层 (共32层),41.69㎡,平层,32.92㎡,板塔结合,东,钢混结构,精装,三梯十六户,有,2021/12/12,商品房,2014/12/8,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
68,['东方丽苑 2室2厅 南'],100,12668,东方丽苑,成华,龙潭寺,2室2厅1厨1卫,中楼层 (共29层),78.94㎡,平层,66㎡,板塔结合,南,钢混结构,精装,两梯六户,有,2021/12/16,经济适用房,2017/3/23,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
69,['锦绣东方一期 2室1厅 东'],128,19266,锦绣东方一期,成华,万象城,2室1厅1厨1卫,中楼层 (共33层),66.44㎡,平层,54.88㎡,塔楼,东,钢混结构,精装,三梯八户,有,2021/12/15,商品房,2016/6/13,普通住宅,满五年,非共有,"
                                有抵押 20万元 成都天府银行 业主自还
                              ",已上传房本照片,,,,
70,['优品尚东三期 3室1厅 东 东南'],暂无数据,首付及贷款情况请咨询经纪人,优品尚东三期,成华,万年场,3室1厅1厨1卫,中楼层 (共27层),77.88㎡,平层,63㎡,板塔结合,东 东南,钢混结构,简装,两梯六户,有,2021/12/7,商品房,2017/7/13,普通住宅,满两年,共有,"
                                有抵押 11万元
                              ",已上传房本照片,,,,
71,['融锦城 3室1厅 东北'],245,19790,融锦城,成华,驷马桥,3室1厅1厨2卫,高楼层 (共20层),123.8㎡,平层,100.66㎡,塔楼,东北,钢混结构,精装,两梯六户,有,2021/12/15,商品房,2016/2/16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
72,['天祥街70号 3室1厅 东南'],73,9751,天祥街70号,成华,猛追湾,3室1厅1厨1卫,中楼层 (共7层),74.87㎡,平层,74.87㎡,板楼,东南,砖混结构,精装,一梯三户,无,2021/10/30,已购公房,2009/2/27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
73,['祥和里96号 3室1厅 东南'],118,11634,祥和里96号,成华,猛追湾,3室1厅1厨1卫,低楼层 (共7层),101.43㎡,平层,101.43㎡,板楼,东南,混合结构,简装,一梯两户,无,2021/7/27,已购公房,2019/1/9,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
74,['城投东庐 3室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,城投东庐,成华,万年场,3室2厅1厨2卫,高楼层 (共23层),89.04㎡,平层,70.63㎡,塔楼,东南,框架结构,简装,两梯六户,有,2021/11/4,限价商品房,2016/3/18,普通住宅,满五年,非共有,"
                                有抵押 35万元 中国银行 业主自还
                              ",已上传房本照片,,,,
75,['优品尚东三期 3室2厅 西南 西'],暂无数据,首付及贷款情况请咨询经纪人,优品尚东三期,成华,万年场,3室2厅1厨2卫,高楼层 (共33层),108.65㎡,平层,87.41㎡,板塔结合,西南 西,钢混结构,毛坯,两梯六户,有,2020/7/21,商品房,2017/10/30,普通住宅,满两年,共有,"
                                有抵押 35万元 中国 银行 业主自还
                              ",已上传房本照片,,,,
76,['华润二十四城七期 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,华润二十四城七期,成华,万象城,3室2厅1厨1卫,低楼层 (共46层),91.94㎡,平层,73㎡,板塔结合,南,钢混结构,精装,三梯六户,有,2021/12/15,商品房,2020/1/23,普通住宅,未满两年,共有,"
                                有抵押 75万元 工商银行 客户偿还
                              ",已上传房本照片,,,,
